id,en,ch,manualTag,tranlatedTag,tatoebaEnId,tatoebaChId,wordDifficulty,syllablesCount,combinedDifficulty,isOneHundredPoints
68,Could I have the check?,可以給我帳單嗎？,,餐廳,22462,833150,2,5,6.4,TRUE
70,"Waiter, I'd like to order.",服務生，我要點菜。,,餐廳,65663,333237,0,7,7,TRUE
71,I would like to order drinks now.,我想現在點飲料。,,餐廳,27106,890970,1,8,8.7,TRUE
72,How many people in your party?,你的派對上有多少人？,,餐廳,24505,848967,1,8,8.7,TRUE
73,I'd like my coffee after the meal.,我想吃完飯再喝咖啡。,,餐廳,62188,892488,2,8,9.4,TRUE
74,This isn't what I ordered.,這不是我點的食物。,,餐廳,55508,836381,2,8,9.4,TRUE
76,I'd like to have this meat dish with your best white wine.,我想要點這道肉，搭配你最好的白酒。,,餐廳,57557,5670807,3,12,14.1,TRUE
77,I'll pay the bill.,我來付賬。,,餐廳,321308,825922,4,4,6.8,TRUE
78,Isn't it black?,它不是黑色的嗎？,,顏色,442968,826098,2,4,5.4,TRUE
80,I bought a red sports car.,我買了一輛紅色的跑車。,,顏色,259014,849273,1,6,6.7,TRUE
81,"So you give up, right?",所以你放棄了，是嗎？,日常,附加問句,53214,5865516,2,5,6.4,TRUE
82,"Large, isn't it?","很大, 不是嗎?",,附加問句,435613,771584,2,4,5.4,TRUE
83,You gave me the wrong change.,你找錯了零錢給我。,,"金錢,購物,餐廳,計程車",64979,805186,4,6,8.8,TRUE
84,Here is your change.,這是你零錢。,,"金錢,購物",2421,772037,3,4,6.1,TRUE
85,This shirt costs ten dollars.,這襯衫要十美元。,,"金錢,價格",61038,1261427,1,6,6.7,TRUE
86,You can buy it for a thousand yen or so.,你能以大約1000日元買下它。,,"金錢,價格",73498,846533,3,11,13.1,TRUE
87,I owe ten dollars to her.,我欠她10美元。,,金錢,308642,332806,3,7,9.1,TRUE
88,I bought it for ten dollars.,我花10美元買了它。,,金錢,254785,1446766,1,7,7.7,TRUE
89,I got it for next to nothing.,我簡直不用花錢就買到了。,,金錢,496144,883301,3,8,10.1,TRUE
90,You gave me only fifty cents.,你只給了我五十美分。,,金錢,72549,805200,3,8,10.1,TRUE
91,I have only five thousand yen.,我只有5000日元。,,金錢,252597,528021,2,8,9.4,TRUE
93,I got the roller skates for nothing.,我免費得到溜冰鞋。,,金錢,254217,802312,5,10,13.5,TRUE
94,I paid $200 in taxes.,我含稅付了兩百元。,,金錢,259005,835787,4,8,10.8,TRUE
95,She earns 30 dollars per day.,她每天賺30美元。,,金錢,310114,512201,4,8,10.8,TRUE
96,He relies on his wife financially.,他經濟上依靠他的太太。,,金錢,295715,336076,8,10,15.6,TRUE
97,I got this vacuum cleaner for nothing.,我免費得到了這個吸塵器。,,金錢,253706,802144,7,10,14.9,TRUE
98,Hi! How are you?,嗨！你好嗎？,日常,重要短句,30316,873404,1,4,4.7,TRUE
99,Hello!,你好。,招呼,重要短句,373330,4857568,1,2,2.7,TRUE
100,What are you doing?,你在做什麼？,,重要短句,16492,6057717,1,4,4.7,TRUE
101,How much does it cost?,它要多少錢?,,重要短句,436193,761442,1,5,5.7,TRUE
102,How much does this cost?,這個要多少錢？,,重要短句,432824,6158471,1,5,5.7,TRUE
103,I like red wine better than white.,我喜歡紅酒勝過白酒。,,"酒精飲料,喜歡",259918,795851,3,8,10.1,TRUE
104,I didn't like beer at that time.,那時候我不喜歡啤酒。,,"酒精飲料,不喜歡",252167,336274,2,8,9.4,TRUE
105,She didn't like her husband drunk.,她不喜歡她的先生喝醉酒。,,"酒精飲料,不喜歡",316745,5611465,5,8,11.5,TRUE
106,He drinks too much beer.,他喝太多啤酒。,,酒精飲料,288803,834507,1,5,5.7,TRUE
107,I've quit drinking beer.,我已經不喝啤酒了。,,酒精飲料,435193,819401,3,5,7.1,TRUE
108,Wine is made from grapes.,葡萄酒是用葡萄做成的。,,酒精飲料,29226,838555,4,6,8.8,TRUE
109,She prefers beer to wine.,她喜歡啤酒勝過葡萄酒。,,酒精飲料,312450,863954,4,6,8.8,TRUE
110,This whisky is too strong.,這種威士忌太烈了。,,酒精飲料,61318,718397,7,6,10.9,TRUE
113,He is too drunk to drive home.,他喝太醉以至於無法開車回家。,,酒精飲料,300211,879190,5,7,10.5,TRUE
114,What kind of wine do you have?,您有什麼樣的葡萄酒？,,酒精飲料,36679,895449,1,7,7.7,TRUE
116,He was too drunk to drive home.,他喝太醉了無法開車回家。,,酒精飲料,292544,879190,5,7,10.5,TRUE
117,She looks as if she were drunk.,她看起來好像喝醉了。,,酒精飲料,32319,891042,5,7,10.5,TRUE
118,He advised her to stop drinking.,他建議她停止喝酒。,,酒精飲料,302677,839510,3,9,11.1,TRUE
119,Do you have any Japanese beer?,你們有日本啤酒嗎？,,酒精飲料,281327,349655,2,9,10.4,TRUE
120,Pale ale is a low-alcohol beer.,淡艾爾是低酒精啤酒。,,酒精飲料,327270,797057,14,9,18.8,TRUE
121,He gave me a lecture on drinking.,他因我喝酒而訓斥我。,,酒精飲料,293853,805229,5,9,12.5,TRUE
122,Could I have another glass of beer?,我可以再喝一杯啤酒嗎？,,酒精飲料,34840,868431,3,9,11.1,TRUE
123,She poured brandy into the glasses.,她把白蘭地倒進玻璃杯裡。,,酒精飲料,312131,851473,10,10,17,TRUE
124,He was arrested for drunken driving.,他因酒駕而被捕。,,酒精飲料,270973,846306,6,10,14.2,TRUE
125,The policeman arrested him for drunken driving.,警察因酒駕而逮捕了他。,,酒精飲料,48464,895592,6,14,18.2,TRUE
126,"After a couple of drinks, the guy was feeling no pain.",喝了幾杯酒後，這個傢伙就感覺不到痛了。,,酒精飲料,24457,830462,6,13,17.2,TRUE
127,He is drunk.,他醉了。,,酒精飲料,470162,471223,4,3,5.8,TRUE
128,You are drunk!,你喝醉了！,,酒精飲料,64332,7768302,4,3,5.8,TRUE
129,My father stopped drinking.,父親戒酒了。,,酒精飲料,559355,334237,0,7,7,TRUE
130,I am a bit drunk.,我有點醉了。,,"酒吧,酒精飲料",258666,918080,5,5,8.5,TRUE
131,Would you like some more beer?,你想再喝些啤酒嗎？,,"酒吧,提供,酒精飲料",34839,868437,3,6,8.1,TRUE
132,It's on the house.,這是免費的。,,"酒吧,慣用語",1112522,2513880,0,4,4,TRUE
133,How about another round?,再來一輪如何？,,酒吧,31564,871218,2,7,8.4,TRUE
134,Cheers!,乾杯!,,酒吧,487006,765577,3,1,3.1,TRUE
136,Sorry to be late.,對不起我來晚了。,,道歉,277384,789995,3,5,7.1,TRUE
137,Sorry to have kept you waiting.,對不起讓您久等了。,,道歉,275291,862886,2,8,9.4,TRUE
138,I'm sorry to have disturbed you.,對不起打擾您了。,,道歉,53056,850363,6,9,13.2,TRUE
140,I'm awfully sorry that I was late.,非常抱歉，我遲到了。,,道歉,277392,894121,5,10,13.5,TRUE
141,"Sorry, that was none of my business.",對不起，那不關我的事。,,道歉,328930,778545,4,10,12.8,TRUE
142,I'm sorry I didn't make myself clear.,對不起，我沒講清楚。,,道歉,246432,801383,3,9,11.1,TRUE
143,"I'm sorry, I dialed the wrong number.",對不起，我撥錯了號碼。,,道歉,51481,798410,4,10,12.8,TRUE
144,I'm sorry for the delay in responding.,我很抱歉這麼遲才回復。,,道歉,320367,801381,6,11,15.2,TRUE
145,"I'm sorry, but it's just not possible.","我很抱歉,，但這是不可能的。",,道歉,28666,778506,3,9,11.1,TRUE
147,"I'm sorry, but I can't answer right away.",我很抱歉，但我無法立即回答。,,道歉,52229,798409,3,12,14.1,TRUE
148,I'm sorry I wasn't able to see you when you came by today.,我很抱歉今天您到訪的時候沒能見到您。,,道歉,242437,784375,3,16,18.1,TRUE
150,Good luck.,祝你好運。,,道別,239431,812490,0,2,2,TRUE
151,See you again.,再見！,,道別,32635,336477,1,4,4.7,TRUE
152,See you around.,再見！,,道別,32690,336477,1,4,4.7,TRUE
153,Goodbye and good luck.,再見，祝好運。,,道別,434818,5574725,0,4,4,TRUE
154,I must be leaving now.,我現在必須離開。,,道別,486444,834615,3,6,8.1,TRUE
156,I hope I'll see you again soon.,我希望我能很快再見到你。,,道別,32627,876722,3,8,10.1,TRUE
157,I trust that I can see you again.,我相信我能再見到你。,,道別,32687,6216630,4,9,11.8,TRUE
158,I'll see you again this afternoon.,今天下午見。,,道別,242555,859221,2,9,10.4,TRUE
160,Drive safely.,安全駕駛。,,道別,484648,819285,2,4,5.4,TRUE
161,Have a nice day.,祝你一天過得愉快。,,道別,30085,336675,0,4,4,TRUE
162,It was very nice seeing you again.,非常高興再次見到你。,,道別,71080,894356,2,9,10.4,TRUE
163,I look forward to seeing you again.,我期待著再次見到你。,,道別,32704,889365,3,9,11.1,TRUE
164,Have a good weekend.,週末愉快。,,道別,1877605,1878357,0,5,5,TRUE
165,I'll see you later.,等會兒見。,,道別,32706,771643,2,5,6.4,TRUE
166,My father goes jogging every morning.,我父親每天早上去慢跑。,,"運動,頻率,親戚/家人",319357,804845,2,11,12.4,TRUE
167,He skis in Hokkaido every winter.,他每年冬天在北海道滑雪。,,"運動,頻率,地點",303928,848668,6,11,15.2,TRUE
168,She plays tennis every day.,她每天都打網球。,,"運動,頻率",317090,334212,0,8,8,TRUE
169,He plays baseball every day.,他每天都打棒球。,,"運動,頻率",303925,352063,0,9,9,TRUE
170,I play tennis once in a while.,我偶爾打網球。,,"運動,頻率",258146,881038,2,8,9.4,TRUE
171,He plays golf two or three times a month.,他一個月打兩到三次高爾夫。,,"運動,頻率",295902,4844982,0,10,10,TRUE
172,We play football every Saturday.,我們每週六踢足球。,,"運動,頻率",249379,839089,2,10,11.4,TRUE
173,I swim once a week.,我每週遊一次泳。,,"運動,頻率",28958,429111,1,5,5.7,TRUE
174,My father began jogging last month.,我父親上個月開始慢跑。,,"運動,親戚/家人",251705,858240,2,9,10.4,TRUE
176,I can play soccer.,我會踢足球。,,"運動,能力",253859,919950,1,5,5.7,TRUE
177,I'm good at soccer.,我擅長踢足球。,,"運動,能力",253857,918060,1,5,5.7,TRUE
178,I'm good at tennis.,我擅長打網球。,,"運動,能力",255082,833218,1,5,5.7,TRUE
179,He is a good tennis player.,他是個網球高手。,,"運動,能力",291853,335077,1,9,9.7,TRUE
180,He doesn't know how to play golf.,他不知道如何打高爾夫球。,,"運動,無知/不知情,能力",289976,882513,1,8,8.7,TRUE
181,He played tennis all day long.,他打了整天的網球。,,"運動,期間",293801,846274,0,9,9,TRUE
182,He was playing tennis all day.,他整天打網球。,,"運動,期間",73070,846274,1,9,9.7,TRUE
183,I play tennis an hour a day.,我每天打一小時網球。,,"運動,期間",39394,1446822,0,8,8,TRUE
184,He wants to be a tennis player.,他想成為一名網球選手。,,"運動,想要/希望",291867,883278,1,10,10.7,TRUE
185,I want to be a baseball player.,我想成為一名棒球選手。,,"運動,想要/希望",262013,889381,1,11,11.7,TRUE
186,He likes both music and sports.,他喜歡音樂和運動。,,"運動,喜歡",294201,788726,1,8,8.7,TRUE
187,She liked tennis and became a tennis coach.,她喜歡網球並成為了一個網球教練。,,"運動,喜歡",311643,334188,3,12,14.1,TRUE
188,He likes hunting.,他喜歡打獵。,,"運動,喜歡",386730,333859,9,5,11.3,TRUE
190,I like sports.,我喜歡各種運動。,,"運動,喜歡",435162,771412,0,3,3,TRUE
191,I got warm from jogging for an hour.,我慢跑了一個小時，身上變暖和了。,,"運動,原因",73168,6089741,3,9,11.1,TRUE
194,Watch your step.,走路小心。,,警告,274491,826192,1,3,3.7,TRUE
195,Watch your step.,小心腳下。,,警告,274491,826193,1,3,3.7,TRUE
196,Don't step on the broken glass.,不要踩在碎玻璃上。,,警告,21238,844442,5,8,11.5,TRUE
198,"An eye for an eye, a tooth for a tooth.",以眼還眼，以牙還牙。,,諺語,6136,806252,5,10,13.5,TRUE
202,Can you speak English?,你們會說英文嗎？,日常,"語言,重要短句",26170,6284534,1,5,5.7,TRUE
203,When did you begin studying English?,你是從什麼時候開始學英文的？,"日常, 學校",語言,16759,512839,0,9,9,TRUE
204,When did you begin studying English?,你們是從什麼時候開始學英文的？,"日常, 學校",語言,16759,512840,0,9,9,TRUE
205,Do you speak French?,你會講法語嗎？,日常,語言,415441,811844,2,4,5.4,TRUE
206,Can you speak French?,你會講法語嗎？,日常,語言,16428,811844,3,4,6.1,TRUE
207,Do you speak Chinese?,你會說中文嗎？,日常,語言,434626,811843,3,5,7.1,TRUE
208,I don't like English.,我不喜歡英文。,日常,語言,256182,768263,1,6,6.7,TRUE
209,I don't speak German.,我不會說德文。,日常,語言,482351,472964,4,6,8.8,TRUE
210,He taught himself French.,他自學法文。,日常,語言,302082,771638,2,5,6.4,TRUE
212,When did you begin studying English?,你什麼時候開始學英語的？,,語言,16759,512845,0,9,9,TRUE
215,You may be late for school.,您上學可能會遲到。,,訓斥/譴責,16233,868446,3,6,8.1,TRUE
216,I'm tired of your complaints.,我已經厭倦了你的抱怨。,,訓斥/譴責,16921,835543,4,7,9.8,TRUE
217,He's always worrying about his daughter.,他一直很擔心他的女兒。,,親戚/家人,289220,332983,2,10,11.4,TRUE
218,Please help me.,請幫幫我,,要求,262424,804501,1,3,3.7,TRUE
219,Go away.,走開！,,要求,433491,819289,1,3,3.7,TRUE
220,My opinion is similar to yours.,我的觀點和你的類似。,,"表達意見,比較",250450,864274,5,10,13.5,TRUE
221,I believe in exercising regularly.,我相信規律的運動。,,"表達意見,健康",20215,834418,3,12,14.1,TRUE
222,I don't agree with him.,我不同意他。,,表達意見,2453,1778258,2,6,7.4,TRUE
223,I don't agree with you.,我不同意你的看法。,,表達意見,17423,333122,2,6,7.4,TRUE
224,I don't quite agree with you.,我不太同意你的看法。,,表達意見,321761,846072,3,7,9.1,TRUE
226,I agree with your opinion about taxes.,我同意你關於稅的意見。,,表達意見,259004,887890,6,11,15.2,TRUE
228,My mother likes tea very much.,我媽媽很喜歡茶。,,"茶會,喜歡,親戚/家人",251830,858763,0,9,9,TRUE
230,She was making tea.,她正在泡茶。,,茶會,310632,408498,1,5,5.7,TRUE
231,We generally drink tea after a meal.,我們通常飯後喝茶。,,茶會,248433,805014,3,11,13.1,TRUE
233,He ordered a cup of tea.,他點了一杯茶。,,茶會,296335,848753,0,8,8,TRUE
234,Do you usually have tea for breakfast?,你經常在吃早餐的時候喝茶嗎？,,茶會,69781,884178,1,10,10.7,TRUE
235,Can you describe to me the difference between black tea and green tea?,你能告訴我紅茶和綠茶的區別嗎？,,茶會,240968,813575,5,17,20.5,TRUE
236,Your English has improved a lot.,你的英語進步了很多。,,"稱讚,能力,語言",17311,872221,1,9,9.7,TRUE
237,You have done very well.,你做得很好。,,稱讚,16749,844599,0,6,6,TRUE
238,Your dress is very nice.,你穿得非常好。,,稱讚,17363,845956,1,6,6.7,TRUE
240,You're really a hard worker.,你真是個努力的工人。,,稱讚,16343,6028029,3,7,9.1,TRUE
242,That's a nice tie you're wearing.,你打了一條不錯的領帶。,,稱讚,273946,869898,3,7,9.1,TRUE
243,You look very charming today.,今天你看起來很迷人啊。,,稱讚,16136,1992644,3,8,10.1,TRUE
246,I'd like to rent a car.,我想租一台車。,,租車,29477,861007,3,6,8.1,TRUE
247,My father bought me a bicycle.,我父親給我買了一輛自行車。,,禮物,570335,2690862,0,7,7,TRUE
248,I am six feet tall.,我六英尺高。,,測量,72456,926762,1,5,5.7,TRUE
249,The wall is thirty yards long.,這堵牆長三十碼。,,測量,44087,868414,4,7,9.8,TRUE
251,The board is about two meters long.,這塊木板大約兩公尺長。,,測量,44421,908333,3,9,11.1,TRUE
254,I'm as tall as my father.,我跟我父親一樣高。,,"比較,親戚/家人,as as 句型",261535,919735,1,7,7.7,TRUE
255,My son is now as tall as I am.,我兒子現在和我一樣高了。,,"比較,親戚/家人,as as 句型",274430,397550,3,9,11.1,TRUE
256,My son is taller than I am.,我兒子比我高。,,"比較,親戚/家人",467341,894342,3,8,10.1,TRUE
257,Tom likes tea better than coffee.,比起咖啡，湯姆更喜歡茶。,,"比較,茶會,喜歡",37295,865564,3,8,10.1,TRUE
258,My sister can play the piano better than I can.,我妹妹鋼琴彈得比我好。,,"比較,能力,樂器",322314,874160,3,13,15.1,TRUE
260,I love you more than you love me.,我愛你多於你愛我。,,"比較,戀愛",17829,803848,2,8,9.4,TRUE
261,She can sing better than anybody else in her class.,她唱歌唱得比班上任何一個人都好。,,"比較,年齡",310755,1225643,4,13,15.8,TRUE
263,He is two years older than you.,他比你大兩歲。,,"比較,年齡",287958,881701,2,8,9.4,TRUE
265,Kyoto is not as large as Osaka.,京都不像大阪這麼大。,,"比較,城市,as as 句型",19291,893529,4,10,12.8,TRUE
266,"Compared to Tokyo, London is small.",和東京比，倫敦很小。,,"比較,城市",684729,784409,3,10,12.1,TRUE
267,"In comparison with Tokyo, London is small.",和東京比，倫敦很小。,,"比較,城市",279731,784409,4,12,14.8,TRUE
268,China is twenty times as large as Japan.,中國是日本的二十倍大。,,"比較,國家,兩個國家",277494,843457,2,12,13.4,TRUE
270,The population of Japan is larger than that of New Zealand.,日本的人口比紐西蘭多。,,"比較,國家,兩個國家",281423,812221,9,17,23.3,TRUE
271,"Which is larger, Japan or England?",日本和英格蘭哪個比較大？,,"比較,國家",1396380,1862606,2,9,10.4,TRUE
273,Gold is far heavier than water.,金子比水重得多。,,"比較,事實",18583,332591,3,8,10.1,TRUE
275,He runs as fast as you.,他跑得跟你一樣快。,,"比較,as as 句型",295621,848697,0,6,6,TRUE
277,She's as busy as Tom.,她和湯姆一樣忙。,,"比較,as as 句型",311824,904792,2,6,7.4,TRUE
278,You are as tall as I am.,你和我一樣高。,,"比較,as as 句型",4909,1778304,2,7,8.4,TRUE
279,She's not as old as Mary.,她沒有瑪麗年紀大。,,"比較,as as 句型",309934,891765,2,7,8.4,TRUE
280,Tom is not as old as you.,湯姆的年紀沒有你大。,,"比較,as as 句型",37320,900257,3,7,9.1,TRUE
281,He is as tall as his father.,他和他爸爸一樣高。,,"比較,as as 句型",47447,343694,1,8,8.7,TRUE
282,Tom is as tall as his father.,湯姆跟他爸爸一樣高。,,"比較,as as 句型",37308,903471,2,8,9.4,TRUE
283,My pen isn't as good as yours.,我的鋼筆不像你那支那麼好。,,"比較,as as 句型",33558,441472,2,8,9.4,TRUE
284,She's not as beautiful as her sister.,她不像她姊姊那麼漂亮。,,"比較,as as 句型",313927,900264,1,10,10.7,TRUE
285,I'm taller than you.,我比你高。,,比較,257131,833198,2,5,6.4,TRUE
286,He's shorter than Tom.,他比湯姆矮。,,比較,292196,834371,2,5,6.4,TRUE
287,He's stronger than you.,他比你強壯。,,比較,295648,832794,2,5,6.4,TRUE
288,She's older than Tom.,她年紀比湯姆大。,,比較,311827,845955,2,5,6.4,TRUE
292,This is smaller than that.,這個比那個更小。,,比較,55961,1372487,2,6,7.4,TRUE
293,We're not as young as Tom.,我們不再像湯姆那樣年輕。,,比較,2940710,3783362,3,6,8.1,TRUE
294,Tom is older than I am.,湯姆年紀比我大。,,比較,406588,872127,3,7,9.1,TRUE
295,Tom is taller than I am.,湯姆比我高。,,比較,406587,874387,3,7,9.1,TRUE
296,Your pen is better than mine.,你的筆比我的好。,,比較,17355,333143,3,7,9.1,TRUE
297,He looks just like his mother.,他長得很像他的母親。,,比較,292915,846503,1,7,7.7,TRUE
299,I'm three years younger than you.,我比你小三歲。,,比較,252889,864345,2,7,8.4,TRUE
300,Your plan seems better than mine.,你的計劃似乎比我的好。,,比較,17258,872124,3,7,9.1,TRUE
301,Your work is below average.,你的工作表現低於平。,,比較,17122,839519,5,8,11.5,TRUE
302,He is taller than his brother.,他比他的弟弟高。,,比較,285416,848990,2,8,9.4,TRUE
303,It's about the size of an egg.,它和雞蛋差不多大。,,比較,42038,797089,2,8,9.4,TRUE
305,He is much older than he looks.,他的實際年齡比他看起來老得多。,,比較,296008,881178,2,8,9.4,TRUE
306,He looks older than my brother.,他看起來比我​​的兄弟年長。,,比較,250732,848538,1,8,8.7,TRUE
307,This is the cheaper of the two.,這是兩件裡便宜的那個。,,比較,280823,6101330,3,8,10.1,TRUE
309,The sun is larger than the moon.,太陽比月亮大。,,比較,275124,905775,2,8,9.4,TRUE
310,Tom is the tallest in his class.,湯姆是班上最高的。,,比較,37039,895827,2,8,9.4,TRUE
311,Your team is stronger than ours.,你們的隊伍比我們強。,,比較,17665,870063,3,7,9.1,TRUE
313,You're in better shape than I am.,你的體格比我好。,,比較,1295,900252,3,8,10.1,TRUE
316,This lake is deepest at this point.,這裡是湖裡最深的地方。,,比較,59354,813578,3,8,10.1,TRUE
317,My sister is shorter than you.,我妹妹比你矮。,,比較,250962,856387,2,8,9.4,TRUE
318,Your chair is identical to mine.,你的椅子和我的很像。,,比較,17420,1225645,5,9,12.5,TRUE
319,Your problem is similar to mine.,你的問題和我很像。,,比較,16930,784489,4,9,11.8,TRUE
